"","island","site","web","obs","preynum"
"799","Saipan","forbi","H'S",3,0
"800","Saipan","forbi","H'T",3,0
"801","Saipan","forbi","H'U",3,1
"802","Saipan","ladt","H'V",3,0
"803","Saipan","ladt","H'W",3,0
"804","Saipan","ladt","H'X",3,0
"805","Saipan","ladt","H'Y",3,0
"806","Saipan","ladt","H'Z",3,0
"807","Saipan","ladt","I'A",3,0
"809","Saipan","ladt","I'C",3,0
"810","Saipan","ladt","I'D",3,0
"811","Saipan","ladt","I'E",3,0
"812","Saipan","ladt","I'F",3,0
"1044","Saipan","ladt","G'P",4,0
"1048","Saipan","forbi","G'T",4,0
"1070","Saipan","forbi","H'P",4,0
"1073","Saipan","forbi","H'S",4,0
"1074","Saipan","forbi","H'T",4,0
"1075","Saipan","forbi","H'U",4,0
"1076","Saipan","ladt","H'V",4,1
"1078","Saipan","ladt","H'X",4,0
"1079","Saipan","ladt","H'Y",4,0
"1080","Saipan","ladt","H'Z",4,0
"1081","Saipan","ladt","I'A",4,1
"1084","Saipan","ladt","I'D",4,0
"1085","Saipan","ladt","I'E",4,0
"1086","Saipan","ladt","I'F",4,0
"1318","Saipan","ladt","G'P",5,0
"1348","Saipan","forbi","H'T",5,0
"1349","Saipan","forbi","H'U",5,0
"1350","Saipan","ladt","H'V",5,0
"1353","Saipan","ladt","H'Y",5,0
"1354","Saipan","ladt","H'Z",5,0
"1355","Saipan","ladt","I'A",5,0
"1359","Saipan","ladt","I'E",5,0
"1360","Saipan","ladt","I'F",5,1
"1592","Saipan","ladt","G'P",6,0
"1623","Saipan","forbi","H'U",6,0
"1624","Saipan","ladt","H'V",6,0
"1627","Saipan","ladt","H'Y",6,0
"1628","Saipan","ladt","H'Z",6,0
"1629","Saipan","ladt","I'A",6,0
"1634","Saipan","ladt","I'F",6,0
"1866","Saipan","ladt","G'P",7,0
"1897","Saipan","forbi","H'U",7,0
"1898","Saipan","ladt","H'V",7,0
"1902","Saipan","ladt","H'Z",7,0
"1903","Saipan","ladt","I'A",7,0
"1908","Saipan","ladt","I'F",7,0
